,sim,szn,terr,data_avail,rank,rank_stat
490,merra2,AUG,12,62.0,3.0,5.07
491,merra2,AUG,13,124.0,3.0,1.77
492,merra2,AUG,14,187.0,1.0,0.914
493,merra2,AUG,16,62.0,4.0,5.62
494,merra2,DEC,1,806.0,2.0,2.97
495,merra2,DEC,2,155.0,1.0,1.07
496,merra2,DEC,3,93.0,4.0,2.27
497,merra2,DEC,4,0.0,,
498,merra2,DEC,5,31.0,4.0,0.209
499,merra2,DEC,6,0.0,,
500,merra2,DEC,7,31.0,3.0,2.93
501,merra2,DEC,10,62.0,1.0,0.276
502,merra2,DEC,11,31.0,1.0,0.622
503,merra2,DEC,12,31.0,1.0,7.33
504,merra2,DEC,13,62.0,4.0,2.73
505,merra2,DEC,14,155.0,4.0,4.88
506,merra2,DEC,16,31.0,1.0,0.348
507,merra2,FEB,1,1165.0,3.0,3.76
508,merra2,FEB,2,285.0,1.0,3.03
509,merra2,FEB,3,171.0,3.0,2.2
510,merra2,FEB,4,29.0,,
511,merra2,FEB,5,28.0,,
512,merra2,FEB,6,0.0,,
513,merra2,FEB,7,86.0,1.0,0.665
514,merra2,FEB,10,114.0,1.0,0.569
515,merra2,FEB,11,57.0,1.0,1.03
516,merra2,FEB,12,57.0,1.0,10.7
517,merra2,FEB,13,114.0,3.0,3.42
518,merra2,FEB,14,141.0,4.0,12.2
519,merra2,FEB,16,28.0,,
520,merra2,JAN,1,1256.0,3.0,3.61
521,merra2,JAN,2,305.0,1.0,2.12
522,merra2,JAN,3,183.0,1.0,2.33
523,merra2,JAN,4,30.0,1.0,4.5
524,merra2,JAN,5,31.0,1.0,0.157
525,merra2,JAN,6,0.0,,
526,merra2,JAN,7,91.0,4.0,1.74
527,merra2,JAN,10,122.0,1.0,0.178
528,merra2,JAN,11,61.0,1.0,0.422
529,merra2,JAN,12,61.0,1.0,10.4
530,merra2,JAN,13,122.0,3.0,2.77
531,merra2,JAN,14,155.0,4.0,9.26
532,merra2,JAN,16,31.0,4.0,1.92
533,merra2,JUL,1,1312.0,4.0,5.82
534,merra2,JUL,2,290.0,4.0,5.03
535,merra2,JUL,3,186.0,4.0,3.19
536,merra2,JUL,4,0.0,,
537,merra2,JUL,5,49.0,1.0,0.189
538,merra2,JUL,6,0.0,,
539,merra2,JUL,7,93.0,4.0,6.77
540,merra2,JUL,10,124.0,2.0,1.59
541,merra2,JUL,11,62.0,3.0,3.71
542,merra2,JUL,12,62.0,4.0,6.64
543,merra2,JUL,13,124.0,1.0,1.29
544,merra2,JUL,14,183.0,1.0,0.714
545,merra2,JUL,16,42.0,4.0,4.08
546,merra2,JUN,1,1200.0,4.0,3.87
547,merra2,JUN,2,270.0,4.0,2.2
548,merra2,JUN,3,180.0,3.0,2.28
549,merra2,JUN,4,0.0,,
550,merra2,JUN,5,30.0,3.0,0.753
551,merra2,JUN,6,0.0,,
552,merra2,JUN,7,90.0,4.0,2.6
553,merra2,JUN,10,120.0,4.0,0.963
554,merra2,JUN,11,60.0,2.0,0.486
555,merra2,JUN,12,60.0,1.0,3.19
556,merra2,JUN,13,120.0,1.0,0.815
557,merra2,JUN,14,150.0,3.0,0.774
558,merra2,JUN,16,30.0,3.0,1.71
559,merra2,MAR,1,1267.0,4.0,3.78
560,merra2,MAR,2,310.0,2.0,3.04
561,merra2,MAR,3,186.0,4.0,2.94
562,merra2,MAR,4,30.0,1.0,1.63
563,merra2,MAR,5,31.0,4.0,5.92
564,merra2,MAR,6,0.0,,
565,merra2,MAR,7,93.0,4.0,2.15
566,merra2,MAR,10,124.0,1.0,0.554
567,merra2,MAR,11,62.0,1.0,0.398
568,merra2,MAR,12,62.0,1.0,9.22
569,merra2,MAR,13,124.0,3.0,3.82
570,merra2,MAR,14,155.0,4.0,11.5
571,merra2,MAR,16,31.0,4.0,3.61
572,merra2,MAY,1,1240.0,3.0,1.98
573,merra2,MAY,2,306.0,3.0,1.72
574,merra2,MAY,3,186.0,2.0,2.15
575,merra2,MAY,4,15.0,,
576,merra2,MAY,5,31.0,4.0,4.08
577,merra2,MAY,6,0.0,,
578,merra2,MAY,7,93.0,3.0,0.887
579,merra2,MAY,10,124.0,4.0,0.81
580,merra2,MAY,11,62.0,3.0,1.12
581,merra2,MAY,12,62.0,1.0,6.48
582,merra2,MAY,13,124.0,3.0,1.86
583,merra2,MAY,14,155.0,4.0,3.98
584,merra2,MAY,16,31.0,3.0,2.05
585,merra2,NOV,1,780.0,1.0,1.68
586,merra2,NOV,2,150.0,4.0,1.04
587,merra2,NOV,3,90.0,2.0,0.557
588,merra2,NOV,4,0.0,,
589,merra2,NOV,5,30.0,4.0,0.214
590,merra2,NOV,6,0.0,,
