time,sitename,obs,terr
2016-01-09,ROCKT3,-18.677925,3
2016-01-10,ROCKT1,-19.674799,3
2016-01-10,ROCKT2,-16.242836,3
2016-01-10,ROCKT3,-18.51875,3
2016-01-11,ROCKT1,-19.032356,3
2016-01-11,ROCKT2,-15.399575,3
2016-01-11,ROCKT3,-18.086645,3
2016-01-12,ROCKT1,-19.336832,3
2016-01-12,ROCKT2,-15.550079,3
2016-01-12,ROCKT3,-18.60944,3
2016-01-13,ROCKT1,-18.899433,3
2016-01-13,ROCKT2,-15.316598,3
2016-01-13,ROCKT3,-18.01833,3
2016-01-14,ROCKT1,-18.528547,3
2016-01-14,ROCKT2,-15.082353,3
2016-01-14,ROCKT3,-17.593748,3
2016-01-15,ROCKT1,-19.115473,3
2016-01-15,ROCKT2,-16.446518,3
2016-01-15,ROCKT3,-17.014397,3
2016-01-16,ROCKT1,-20.183117,3
2016-01-16,ROCKT2,-17.141718,3
2016-01-16,ROCKT3,-17.46811,3
2016-01-17,ROCKT1,-18.48928,3
2016-01-17,ROCKT2,-15.243505,3
2016-01-17,ROCKT3,-16.54065,3
2016-01-18,ROCKT1,-18.83258,3
2016-01-18,ROCKT2,-15.703231,3
2016-01-18,ROCKT3,-16.518627,3
2016-01-19,ROCKT1,-19.482744,3
2016-01-19,ROCKT2,-16.354809,3
2016-01-19,ROCKT3,-17.023697,3
2016-01-20,ROCKT1,-20.54647,3
2016-01-20,ROCKT2,-17.294142,3
2016-01-20,ROCKT3,-18.325367,3
2016-01-21,ROCKT1,-20.904354,3
2016-01-21,ROCKT2,-17.504837,3
2016-01-21,ROCKT3,-18.302645,3
2016-01-22,ROCKT1,-21.247229,3
2016-01-22,ROCKT2,-17.63381,3
2016-01-22,ROCKT3,-18.723827,3
2016-01-23,ROCKT1,-21.384727,3
2016-01-23,ROCKT2,-17.682278,3
2016-01-23,ROCKT3,-18.97436,3
2016-01-24,ROCKT1,-19.892748,3
2016-01-24,ROCKT2,-16.44935,3
2016-01-24,ROCKT3,-17.896362,3
2016-01-25,ROCKT1,-20.261742,3
2016-01-25,ROCKT2,-17.025698,3
2016-01-25,ROCKT3,-18.14698,3
2016-01-26,ROCKT1,-19.47808,3
2016-01-26,ROCKT2,-16.451946,3
2016-01-26,ROCKT3,-17.777037,3
2016-01-27,ROCKT1,-19.452236,3
2016-01-27,ROCKT2,-16.603071,3
2016-01-27,ROCKT3,-17.805107,3
2016-01-28,ROCKT1,-19.579538,3
2016-01-28,ROCKT2,-16.73195,3
2016-01-28,ROCKT3,-18.08862,3
2016-01-29,ROCKT1,-18.489655,3
2016-01-29,ROCKT2,-15.601551,3
2016-01-29,ROCKT3,-17.122435,3
2016-01-30,ROCKT1,-18.70994,3
2016-01-30,ROCKT2,-16.507114,3
2016-01-30,ROCKT3,-17.42044,3
2016-01-31,ROCKT1,-20.564886,3
2016-01-31,ROCKT2,-18.781546,3
2016-01-31,ROCKT3,-19.504013,3
2016-02-01,ROCKT1,-20.985765,3
2016-02-01,ROCKT2,-18.858097,3
2016-02-01,ROCKT3,-20.323732,3
2016-02-02,ROCKT1,-21.463436,3
2016-02-02,ROCKT2,-19.251015,3
2016-02-02,ROCKT3,-20.907269,3
2016-02-03,ROCKT1,-21.635565,3
2016-02-03,ROCKT2,-19.008276,3
2016-02-03,ROCKT3,-21.281425,3
2016-02-04,ROCKT1,-22.949327,3
2016-02-04,ROCKT2,-20.23951,3
2016-02-04,ROCKT3,-22.779718,3
2016-02-05,ROCKT1,-23.639332,3
2016-02-05,ROCKT2,-20.675915,3
2016-02-05,ROCKT3,-22.925495,3
2016-02-06,ROCKT1,-22.262594,3
2016-02-06,ROCKT2,-19.090017,3
2016-02-06,ROCKT3,-21.339537,3
2016-02-07,ROCKT1,-21.642603,3
2016-02-07,ROCKT2,-18.950573,3
2016-02-07,ROCKT3,-20.023129,3
2016-02-08,ROCKT1,-22.666046,3
2016-02-08,ROCKT2,-20.140944,3
2016-02-08,ROCKT3,-20.049902,3
2016-02-09,ROCKT1,-24.100637,3
2016-02-09,ROCKT2,-21.195885,3
2016-02-09,ROCKT3,-20.3748,3
2016-02-10,ROCKT1,-24.059303,3
2016-02-10,ROCKT2,-21.058567,3
2016-02-10,ROCKT3,-20.482063,3
2016-02-11,ROCKT1,-24.177473,3
2016-02-11,ROCKT2,-21.01878,3
2016-02-11,ROCKT3,-21.587934,3
2016-02-12,ROCKT1,-24.412056,3
2016-02-12,ROCKT2,-21.23402,3
