,sim,szn,terr,data_avail,rank,rank_stat
495,jra55,JUN,16,30.0,4.0,0.542
496,jra55,MAR,1,651.0,2.0,0.497
497,jra55,MAR,2,403.0,2.0,0.493
498,jra55,MAR,3,248.0,3.0,0.481
499,jra55,MAR,4,155.0,2.0,0.459
500,jra55,MAR,5,186.0,1.0,0.494
501,jra55,MAR,6,186.0,2.0,0.502
502,jra55,MAR,7,186.0,1.0,0.481
503,jra55,MAR,8,310.0,4.0,0.532
504,jra55,MAR,9,186.0,4.0,0.5
505,jra55,MAR,10,124.0,3.0,0.5
506,jra55,MAR,11,217.0,2.0,0.497
507,jra55,MAR,12,124.0,4.0,0.5
508,jra55,MAR,13,124.0,2.0,0.484
509,jra55,MAR,14,155.0,4.0,0.505
510,jra55,MAR,15,279.0,1.0,0.481
511,jra55,MAR,16,31.0,1.0,0.482
512,jra55,MAY,1,651.0,4.0,0.51
513,jra55,MAY,2,403.0,4.0,0.543
514,jra55,MAY,3,248.0,3.0,0.476
515,jra55,MAY,4,155.0,4.0,0.508
516,jra55,MAY,5,186.0,4.0,0.47
517,jra55,MAY,6,186.0,4.0,0.535
518,jra55,MAY,7,186.0,3.0,0.497
519,jra55,MAY,8,310.0,3.0,0.512
520,jra55,MAY,9,186.0,4.0,0.535
521,jra55,MAY,10,124.0,2.0,0.475
522,jra55,MAY,11,217.0,4.0,0.525
523,jra55,MAY,12,107.0,4.0,0.504
524,jra55,MAY,13,124.0,2.0,0.502
525,jra55,MAY,14,155.0,2.0,0.392
526,jra55,MAY,15,279.0,3.0,0.482
527,jra55,MAY,16,31.0,4.0,0.506
528,jra55,NOV,1,330.0,3.0,0.505
529,jra55,NOV,2,270.0,4.0,0.506
530,jra55,NOV,3,150.0,3.0,0.495
531,jra55,NOV,4,90.0,4.0,0.5
532,jra55,NOV,5,180.0,1.0,0.401
533,jra55,NOV,6,90.0,3.0,0.527
534,jra55,NOV,7,120.0,1.0,0.483
535,jra55,NOV,8,300.0,1.0,0.49
536,jra55,NOV,9,180.0,3.0,0.5
537,jra55,NOV,10,60.0,4.0,0.506
538,jra55,NOV,11,180.0,4.0,0.5
539,jra55,NOV,12,60.0,4.0,0.5
540,jra55,NOV,13,60.0,4.0,0.5
541,jra55,NOV,14,150.0,4.0,0.48
542,jra55,NOV,15,270.0,3.0,0.461
543,jra55,NOV,16,30.0,1.0,0.291
544,jra55,OCT,1,341.0,4.0,0.507
545,jra55,OCT,2,279.0,2.0,0.501
546,jra55,OCT,3,173.0,4.0,0.504
547,jra55,OCT,4,93.0,3.0,0.505
548,jra55,OCT,5,186.0,4.0,0.508
549,jra55,OCT,6,93.0,4.0,0.517
550,jra55,OCT,7,124.0,3.0,0.516
551,jra55,OCT,8,310.0,4.0,0.51
552,jra55,OCT,9,186.0,4.0,0.504
553,jra55,OCT,10,62.0,3.0,0.507
554,jra55,OCT,11,186.0,4.0,0.525
555,jra55,OCT,12,62.0,4.0,0.5
556,jra55,OCT,13,62.0,4.0,0.501
557,jra55,OCT,14,155.0,4.0,0.517
558,jra55,OCT,15,279.0,4.0,0.502
559,jra55,OCT,16,31.0,4.0,0.506
560,jra55,SEP,1,425.0,3.0,0.524
561,jra55,SEP,2,311.0,3.0,0.54
562,jra55,SEP,3,214.0,4.0,0.532
563,jra55,SEP,4,111.0,3.0,0.524
564,jra55,SEP,5,201.0,4.0,0.513
565,jra55,SEP,6,101.0,3.0,0.458
566,jra55,SEP,7,148.0,3.0,0.486
567,jra55,SEP,8,300.0,4.0,0.543
568,jra55,SEP,9,182.0,4.0,0.519
569,jra55,SEP,10,80.0,4.0,0.533
570,jra55,SEP,11,191.0,4.0,0.555
571,jra55,SEP,12,73.0,4.0,0.518
572,jra55,SEP,13,83.0,3.0,0.526
573,jra55,SEP,14,160.0,4.0,0.521
574,jra55,SEP,15,270.0,4.0,0.507
575,jra55,SEP,16,41.0,4.0,0.515
576,merra2,APR,1,630.0,3.0,0.501
577,merra2,APR,2,390.0,2.0,0.493
578,merra2,APR,3,240.0,4.0,0.5
579,merra2,APR,4,150.0,1.0,0.422
580,merra2,APR,5,180.0,4.0,0.5
581,merra2,APR,6,180.0,2.0,0.495
582,merra2,APR,7,180.0,1.0,0.501
583,merra2,APR,8,300.0,3.0,0.5
584,merra2,APR,9,180.0,3.0,0.478
585,merra2,APR,10,120.0,3.0,0.5
586,merra2,APR,11,210.0,3.0,0.501
587,merra2,APR,12,120.0,1.0,0.48
588,merra2,APR,13,120.0,1.0,0.488
589,merra2,APR,14,150.0,3.0,0.5
590,merra2,APR,15,270.0,4.0,0.5
591,merra2,APR,16,30.0,4.0,0.5
592,merra2,AUG,1,627.0,1.0,0.439
593,merra2,AUG,2,404.0,1.0,0.473
594,merra2,AUG,3,279.0,2.0,0.475
595,merra2,AUG,4,155.0,1.0,0.478
596,merra2,AUG,5,249.0,4.0,0.5
