,stat,sim,szn,terr,data_avail,rank,rank_stat
151,BIAS,jra55,JUN,2,120.0,4.0,-0.499
152,BIAS,jra55,JUN,3,0.0,,
153,BIAS,jra55,JUN,4,720.0,4.0,-2.9
154,BIAS,jra55,JUN,5,360.0,4.0,-3.79
155,BIAS,jra55,MAR,1,310.0,4.0,0.939
156,BIAS,jra55,MAR,2,124.0,3.0,-0.691
157,BIAS,jra55,MAR,3,0.0,,
158,BIAS,jra55,MAR,4,744.0,2.0,1.62
159,BIAS,jra55,MAR,5,372.0,2.0,1.74
160,BIAS,jra55,MAY,1,310.0,4.0,-0.0286
161,BIAS,jra55,MAY,2,124.0,4.0,1.11
162,BIAS,jra55,MAY,3,0.0,,
163,BIAS,jra55,MAY,4,744.0,3.0,-0.0439
164,BIAS,jra55,MAY,5,372.0,3.0,-1.93
165,BIAS,jra55,NOV,1,300.0,2.0,-2.94
166,BIAS,jra55,NOV,2,120.0,2.0,-1.4
167,BIAS,jra55,NOV,3,0.0,,
168,BIAS,jra55,NOV,4,720.0,2.0,-1.1
169,BIAS,jra55,NOV,5,360.0,2.0,-0.284
170,BIAS,jra55,OCT,1,310.0,4.0,-0.711
171,BIAS,jra55,OCT,2,124.0,2.0,-0.928
172,BIAS,jra55,OCT,3,0.0,,
173,BIAS,jra55,OCT,4,744.0,1.0,-1.4
174,BIAS,jra55,OCT,5,372.0,1.0,-1.1
175,BIAS,jra55,SEP,1,300.0,4.0,1.01
176,BIAS,jra55,SEP,2,120.0,4.0,-1.33
177,BIAS,jra55,SEP,3,0.0,,
178,BIAS,jra55,SEP,4,720.0,4.0,-1.65
179,BIAS,jra55,SEP,5,360.0,4.0,-1.43
180,BIAS,merra2,APR,1,300.0,1.0,-4.54
181,BIAS,merra2,APR,2,120.0,2.0,-0.345
182,BIAS,merra2,APR,3,0.0,,
183,BIAS,merra2,APR,4,720.0,4.0,5.99
184,BIAS,merra2,APR,5,360.0,4.0,5.32
185,BIAS,merra2,AUG,1,307.0,1.0,-1.41
186,BIAS,merra2,AUG,2,125.0,1.0,-6.38
187,BIAS,merra2,AUG,3,0.0,,
188,BIAS,merra2,AUG,4,750.0,1.0,-8.81
189,BIAS,merra2,AUG,5,375.0,1.0,-10.4
190,BIAS,merra2,DEC,1,310.0,1.0,-4.23
191,BIAS,merra2,DEC,2,124.0,3.0,-1.04
192,BIAS,merra2,DEC,3,0.0,,
193,BIAS,merra2,DEC,4,744.0,4.0,3.74
194,BIAS,merra2,DEC,5,372.0,4.0,4.51
195,BIAS,merra2,FEB,1,282.0,1.0,-5.0
196,BIAS,merra2,FEB,2,113.0,3.0,-1.14
197,BIAS,merra2,FEB,3,0.0,,
198,BIAS,merra2,FEB,4,678.0,4.0,7.46
199,BIAS,merra2,FEB,5,339.0,4.0,7.58
200,BIAS,merra2,JAN,1,310.0,1.0,-7.11
201,BIAS,merra2,JAN,2,124.0,3.0,-1.29
202,BIAS,merra2,JAN,3,0.0,,
203,BIAS,merra2,JAN,4,744.0,4.0,6.37
204,BIAS,merra2,JAN,5,372.0,4.0,6.24
205,BIAS,merra2,JUL,1,310.0,1.0,-3.01
206,BIAS,merra2,JUL,2,139.0,1.0,-8.76
207,BIAS,merra2,JUL,3,0.0,,
208,BIAS,merra2,JUL,4,840.0,1.0,-9.5
209,BIAS,merra2,JUL,5,426.0,1.0,-10.5
210,BIAS,merra2,JUN,1,300.0,1.0,-4.34
211,BIAS,merra2,JUN,2,120.0,1.0,-4.01
212,BIAS,merra2,JUN,3,0.0,,
213,BIAS,merra2,JUN,4,720.0,1.0,-4.82
214,BIAS,merra2,JUN,5,360.0,1.0,-6.84
215,BIAS,merra2,MAR,1,310.0,1.0,-4.73
216,BIAS,merra2,MAR,2,124.0,4.0,-0.469
217,BIAS,merra2,MAR,3,0.0,,
218,BIAS,merra2,MAR,4,744.0,4.0,7.63
219,BIAS,merra2,MAR,5,372.0,4.0,6.92
220,BIAS,merra2,MAY,1,310.0,1.0,-4.55
221,BIAS,merra2,MAY,2,124.0,2.0,-1.91
222,BIAS,merra2,MAY,3,0.0,,
223,BIAS,merra2,MAY,4,744.0,4.0,2.18
224,BIAS,merra2,MAY,5,372.0,4.0,0.221
225,BIAS,merra2,NOV,1,300.0,3.0,-2.5
226,BIAS,merra2,NOV,2,120.0,4.0,0.38
227,BIAS,merra2,NOV,3,0.0,,
228,BIAS,merra2,NOV,4,720.0,4.0,1.17
229,BIAS,merra2,NOV,5,360.0,4.0,1.97
230,BIAS,merra2,OCT,1,310.0,2.0,-1.32
231,BIAS,merra2,OCT,2,124.0,3.0,-0.82
232,BIAS,merra2,OCT,3,0.0,,
233,BIAS,merra2,OCT,4,744.0,4.0,-0.988
234,BIAS,merra2,OCT,5,372.0,4.0,-0.375
235,BIAS,merra2,SEP,1,300.0,1.0,-1.17
236,BIAS,merra2,SEP,2,120.0,1.0,-3.11
237,BIAS,merra2,SEP,3,0.0,,
238,BIAS,merra2,SEP,4,720.0,1.0,-4.07
239,BIAS,merra2,SEP,5,360.0,1.0,-3.38
,stat,sim,szn,terr,data_avail,rank,rank_stat
0,WILL,ens,APR,1,300.0,4.0,0.501
1,WILL,ens,APR,2,120.0,2.0,0.434
2,WILL,ens,APR,3,0.0,,
3,WILL,ens,APR,4,720.0,3.0,0.467
4,WILL,ens,APR,5,360.0,1.0,0.392
5,WILL,ens,AUG,1,307.0,1.0,0.498
6,WILL,ens,AUG,2,125.0,4.0,0.5
7,WILL,ens,AUG,3,0.0,,
8,WILL,ens,AUG,4,750.0,2.0,0.5
9,WILL,ens,AUG,5,375.0,4.0,0.5
10,WILL,ens,DEC,1,310.0,3.0,0.505
11,WILL,ens,DEC,2,124.0,3.0,0.528
12,WILL,ens,DEC,3,0.0,,
13,WILL,ens,DEC,4,744.0,4.0,0.532
14,WILL,ens,DEC,5,372.0,3.0,0.497
15,WILL,ens,FEB,1,282.0,2.0,0.451
16,WILL,ens,FEB,2,113.0,2.0,0.5
17,WILL,ens,FEB,3,0.0,,
18,WILL,ens,FEB,4,678.0,2.0,0.492
19,WILL,ens,FEB,5,339.0,2.0,0.477
20,WILL,ens,JAN,1,310.0,3.0,0.5
21,WILL,ens,JAN,2,124.0,1.0,0.426
22,WILL,ens,JAN,3,0.0,,
23,WILL,ens,JAN,4,744.0,4.0,0.5
24,WILL,ens,JAN,5,372.0,4.0,0.504
25,WILL,ens,JUL,1,310.0,3.0,0.497
26,WILL,ens,JUL,2,139.0,2.0,0.499
27,WILL,ens,JUL,3,0.0,,
28,WILL,ens,JUL,4,840.0,4.0,0.501
29,WILL,ens,JUL,5,426.0,3.0,0.5
30,WILL,ens,JUN,1,300.0,1.0,0.5
31,WILL,ens,JUN,2,120.0,4.0,0.503
32,WILL,ens,JUN,3,0.0,,
